FIR_ID,Crime_Type,Date,District,Police_Station,Status
FIR000001,Cyber Fraud,06-11-2023,Belagavi,Marathahalli Police Station,Under Investigation
FIR000002,Vehicle Theft,11-12-2023,Hubballi-Dharwad,Indiranagar Police Station,Open
FIR000003,Drug Trafficking,14-03-2026,Hubballi-Dharwad,Indiranagar Police Station,Under Investigation
FIR000004,Chain Snatching,26-07-2023,Tumakuru,Marathahalli Police Station,Closed
FIR000005,Drug Trafficking,04-01-2024,Bengaluru Urban,Koramangala Police Station,Open
FIR000006,Robbery,27-11-2024,Kalaburagi,Jayanagar Police Station,Closed
FIR000007,Chain Snatching,26-10-2025,Mysuru,Yelahanka Police Station,Open
FIR000008,Chain Snatching,16-12-2025,Tumakuru,Yelahanka Police Station,Open
FIR000009,Financial Fraud,25-03-2026,Kalaburagi,Koramangala Police Station,Closed
FIR000010,Robbery,30-12-2023,Ballari,Jayanagar Police Station,Open
FIR000011,Chain Snatching,19-04-2025,Hubballi-Dharwad,Electronic City Police Station,Under Investigation
FIR000012,Chain Snatching,08-11-2024,Belagavi,Electronic City Police Station,Under Investigation
FIR000013,Robbery,27-02-2024,Kalaburagi,Marathahalli Police Station,Open
FIR000014,Chain Snatching,31-01-2026,Bengaluru Urban,Jayanagar Police Station,Under Investigation
FIR000015,Vehicle Theft,05-02-2025,Hubballi-Dharwad,Jayanagar Police Station,Open
FIR000016,Cyber Fraud,04-10-2024,Mangaluru,Jayanagar Police Station,Closed
FIR000017,Drug Trafficking,26-03-2024,Mangaluru,Indiranagar Police Station,Closed
FIR000018,Cyber Fraud,11-12-2024,Shivamogga,Yelahanka Police Station,Open
FIR000019,Cyber Fraud,20-06-2025,Ballari,Yelahanka Police Station,Open
FIR000020,Vehicle Theft,13-04-2025,Kalaburagi,Whitefield Police Station,Under Investigation
FIR000021,Robbery,20-03-2025,Kalaburagi,Koramangala Police Station,Under Investigation
FIR000022,Financial Fraud,03-08-2025,Bengaluru Rural,Hebbal Police Station,Open
FIR000023,Robbery,05-05-2024,Bengaluru Rural,Jayanagar Police Station,Open
FIR000024,Drug Trafficking,27-12-2025,Belagavi,Whitefield Police Station,Under Investigation
FIR000025,Cyber Fraud,19-03-2024,Hubballi-Dharwad,Marathahalli Police Station,Open
FIR000026,Drug Trafficking,31-10-2025,Mangaluru,Hebbal Police Station,Open
FIR000027,House Burglary,30-08-2023,Kalaburagi,Electronic City Police Station,Closed
FIR000028,Vehicle Theft,19-06-2024,Hubballi-Dharwad,Yelahanka Police Station,Open
FIR000029,Cyber Fraud,08-04-2025,Hubballi-Dharwad,Jayanagar Police Station,Open
FIR000030,Chain Snatching,21-09-2023,Bengaluru Rural,Marathahalli Police Station,Open
FIR000031,Robbery,17-09-2023,Belagavi,Marathahalli Police Station,Closed
FIR000032,Assault,03-02-2026,Bengaluru Urban,Electronic City Police Station,Closed
FIR000033,Cyber Fraud,16-04-2024,Mysuru,Marathahalli Police Station,Open
FIR000034,Financial Fraud,23-05-2026,Kalaburagi,Whitefield Police Station,Under Investigation
FIR000035,Assault,22-02-2024,Mangaluru,Koramangala Police Station,Under Investigation
FIR000036,Cyber Fraud,09-06-2024,Mysuru,Yelahanka Police Station,Closed
FIR000037,Chain Snatching,01-08-2023,Bengaluru Rural,Hebbal Police Station,Closed
FIR000038,Vehicle Theft,07-09-2023,Mangaluru,Whitefield Police Station,Open
FIR000039,Chain Snatching,08-06-2025,Tumakuru,Hebbal Police Station,Closed
FIR000040,House Burglary,30-12-2024,Tumakuru,Hebbal Police Station,Under Investigation
FIR000041,Assault,30-01-2024,Bengaluru Rural,Yelahanka Police Station,Under Investigation
FIR000042,Robbery,22-02-2024,Bengaluru Urban,Hebbal Police Station,Closed
FIR000043,Financial Fraud,03-11-2025,Belagavi,Koramangala Police Station,Under Investigation
FIR000044,Robbery,26-06-2024,Mysuru,Yelahanka Police Station,Open
FIR000045,Vehicle Theft,20-12-2024,Belagavi,Indiranagar Police Station,Open
FIR000046,Drug Trafficking,10-02-2025,Bengaluru Urban,Marathahalli Police Station,Closed
FIR000047,Cyber Fraud,29-03-2025,Bengaluru Rural,Hebbal Police Station,Closed
FIR000048,Cyber Fraud,17-06-2024,Hubballi-Dharwad,Jayanagar Police Station,Open
FIR000049,Cyber Fraud,09-05-2024,Bengaluru Urban,Marathahalli Police Station,Under Investigation
FIR000050,Cyber Fraud,22-07-2024,Bengaluru Rural,Electronic City Police Station,Open
FIR000051,Robbery,30-08-2023,Shivamogga,Yelahanka Police Station,Closed
FIR000052,Financial Fraud,30-06-2023,Ballari,Electronic City Police Station,Closed
FIR000053,Robbery,13-09-2024,Hubballi-Dharwad,Indiranagar Police Station,Closed
FIR000054,Vehicle Theft,05-07-2025,Hubballi-Dharwad,Yelahanka Police Station,Closed
FIR000055,Robbery,08-04-2025,Hubballi-Dharwad,Hebbal Police Station,Under Investigation
FIR000056,Drug Trafficking,21-10-2025,Mangaluru,Whitefield Police Station,Closed
FIR000057,Vehicle Theft,27-06-2023,Mysuru,Hebbal Police Station,Closed
FIR000058,Cyber Fraud,30-12-2024,Ballari,Koramangala Police Station,Open
FIR000059,Chain Snatching,09-08-2024,Belagavi,Jayanagar Police Station,Open
FIR000060,Robbery,22-07-2025,Mysuru,Electronic City Police Station,Under Investigation
FIR000061,Drug Trafficking,15-07-2023,Bengaluru Rural,Hebbal Police Station,Open
FIR000062,Chain Snatching,03-07-2025,Mangaluru,Electronic City Police Station,Under Investigation
FIR000063,Cyber Fraud,30-07-2023,Hubballi-Dharwad,Hebbal Police Station,Open
FIR000064,Robbery,31-12-2023,Belagavi,Marathahalli Police Station,Under Investigation
FIR000065,Drug Trafficking,24-02-2026,Kalaburagi,Indiranagar Police Station,Open
FIR000066,House Burglary,16-09-2023,Hubballi-Dharwad,Koramangala Police Station,Closed
FIR000067,Vehicle Theft,22-08-2025,Ballari,Yelahanka Police Station,Closed
FIR000068,Chain Snatching,01-02-2026,Ballari,Yelahanka Police Station,Open
FIR000069,Chain Snatching,20-06-2025,Mysuru,Electronic City Police Station,Open
FIR000070,Chain Snatching,06-11-2024,Bengaluru Rural,Indiranagar Police Station,Under Investigation
FIR000071,Cyber Fraud,23-05-2026,Hubballi-Dharwad,Koramangala Police Station,Open
FIR000072,Robbery,24-08-2023,Ballari,Hebbal Police Station,Open
FIR000073,House Burglary,06-04-2025,Tumakuru,Marathahalli Police Station,Open
FIR000074,Financial Fraud,02-04-2025,Ballari,Marathahalli Police Station,Under Investigation
FIR000075,House Burglary,28-11-2024,Tumakuru,Jayanagar Police Station,Open
FIR000076,Assault,08-04-2026,Mysuru,Jayanagar Police Station,Open
FIR000077,Assault,22-04-2025,Bengaluru Rural,Marathahalli Police Station,Closed
FIR000078,Financial Fraud,10-09-2023,Hubballi-Dharwad,Marathahalli Police Station,Closed
FIR000079,Financial Fraud,16-08-2024,Bengaluru Urban,Whitefield Police Station,Under Investigation
FIR000080,Financial Fraud,07-05-2024,Mysuru,Koramangala Police Station,Open
FIR000081,Drug Trafficking,04-03-2025,Ballari,Hebbal Police Station,Under Investigation
FIR000082,Financial Fraud,09-01-2025,Kalaburagi,Jayanagar Police Station,Under Investigation
FIR000083,Cyber Fraud,21-07-2024,Belagavi,Hebbal Police Station,Under Investigation
FIR000084,Financial Fraud,04-06-2023,Mysuru,Koramangala Police Station,Closed
FIR000085,Chain Snatching,27-07-2024,Belagavi,Electronic City Police Station,Open
FIR000086,Assault,21-11-2025,Kalaburagi,Yelahanka Police Station,Under Investigation
FIR000087,Cyber Fraud,01-02-2025,Belagavi,Yelahanka Police Station,Closed
FIR000088,Assault,06-08-2024,Ballari,Jayanagar Police Station,Open
FIR000089,Vehicle Theft,25-05-2026,Kalaburagi,Marathahalli Police Station,Open
FIR000090,Drug Trafficking,06-02-2026,Shivamogga,Marathahalli Police Station,Under Investigation
FIR000091,Financial Fraud,20-02-2025,Belagavi,Yelahanka Police Station,Open
